编号,eGeMAPS v02 特征名称 (Feature Name),所属物理维度,作用与临床/情感计算意义
44,slopeV500-1500_sma3nz_stddevNorm,频谱平衡 (有声段),有声段 500-1500 Hz 频谱斜率的标准差。
45,spectralFluxV_sma3nz_amean,频谱形状 (有声段),有声段频谱通量的平均值，反映发元音或有声过渡时音色的变化率。
46,spectralFluxV_sma3nz_stddevNorm,频谱形状 (有声段),有声段频谱通量的标准差。
47,mfcc1V_sma3nz_amean,频谱平衡 (有声段),有声段 MFCC 1 的平均值，表征有声段核心音色。
48,mfcc1V_sma3nz_stddevNorm,频谱平衡 (有声段),有声段 MFCC 1 的归一化标准差。
49,mfcc2V_sma3nz_amean,频谱平衡 (有声段),有声段 MFCC 2 的平均值。
50,mfcc2V_sma3nz_stddevNorm,频谱平衡 (有声段),有声段 MFCC 2 的归一化标准差。
51,mfcc3V_sma3nz_amean,频谱平衡 (有声段),有声段 MFCC 3 的平均值。
52,mfcc3V_sma3nz_stddevNorm,频谱平衡 (有声段),有声段 MFCC 3 的归一化标准差。
53,mfcc4V_sma3nz_amean,频谱平衡 (有声段),有声段 MFCC 4 的平均值。
54,mfcc4V_sma3nz_stddevNorm,频谱平衡 (有声段),有声段 MFCC 4 的归一化标准差。
55,alphaRatioUV_sma3nz_amean,频谱平衡 (无声段),无声/辅音段（UV）阿尔法系数平均值，反映摩擦音或清辅音的高低频能量分布。
56,hammarbergIndexUV_sma3nz_amean,频谱平衡 (无声段),无声段哈马伯格指数平均值。
57,slopeUV0-500_sma3nz_amean,频谱平衡 (无声段),无声段 0-500 Hz 频谱斜率平均值。
58,slopeUV500-1500_sma3nz_amean,频谱平衡 (无声段),无声段 500-1500 Hz 频谱斜率平均值。
59,spectralFluxUV_sma3nz_amean,频谱形状 (无声段),无声段频谱通量的平均值（反映呼吸声或辅音部分的白噪声动态）。
60,F1frequency_sma3nz_amean,共振峰 (F1),第一共振峰中心频率的平均值，与舌位的高低（口张开度）强烈相关。
61,F1frequency_sma3nz_stddevNorm,共振峰 (F1),第一共振峰中心频率的标准差，反映说话时元音张口度的多变性。
62,F1bandwidth_sma3nz_amean,共振峰 (F1),第一共振峰带宽的平均值，带宽越宽说明该频段声音能量越发散（多见于鼻音化或发音不清晰）。
63,F1bandwidth_sma3nz_stddevNorm,共振峰 (F1),第一共振峰带宽的标准差。
64,F1amplitudeLogRelF0_sma3nz_amean,共振峰 (F1),第一共振峰相对于基频（F0）的对数振幅平均值，反映第一共振峰的相对能量强弱。
65,F1amplitudeLogRelF0_sma3nz_stddevNorm,共振峰 (F1),第一共振峰相对对数振幅的标准差。
66,F2frequency_sma3nz_amean,共振峰 (F2),第二共振峰中心频率的平均值，与舌位的前后（前元音/后元音）强烈相关。
67,F2frequency_sma3nz_stddevNorm,共振峰 (F2),第二共振峰中心频率的标准差。
68,F2bandwidth_sma3nz_amean,共振峰 (F2),第二共振峰带宽的平均值。
69,F2bandwidth_sma3nz_stddevNorm,共振峰 (F2),第二共振峰带宽的标准差。
70,F2amplitudeLogRelF0_sma3nz_amean,共振峰 (F2),第二共振峰相对于基频的对数振幅平均值。
71,F2amplitudeLogRelF0_sma3nz_stddevNorm,共振峰 (F2),第二共振峰相对对数振幅的标准差。
72,F3frequency_sma3nz_amean,共振峰 (F3),第三共振峰中心频率的平均值，与卷舌音、发音人身份、音质特点相关。
73,F3frequency_sma3nz_stddevNorm,共振峰 (F3),第三共振峰中心频率的标准差。
74,F3bandwidth_sma3nz_amean,共振峰 (F3),第三共振峰带宽的平均值。
75,F3bandwidth_sma3nz_stddevNorm,共振峰 (F3),第三共振峰带宽的标准差。
76,F3amplitudeLogRelF0_sma3nz_amean,共振峰 (F3),第三共振峰相对于基频的对数振幅平均值。
77,F3amplitudeLogRelF0_sma3nz_stddevNorm,共振峰 (F3),第三共振峰相对对数振幅的标准差。
78,ratioOfVvoicedToAllSegments,时序特征 (语速),有声段占整个音频的比例，值越高说明停顿越少，说话越连续。
79,rateOfSpeech,时序特征 (语速),语速：每秒钟内包含的有声段（近似音节）个数，直观反映说话快慢。
80,nbVvoicedSegmentsPerSec,时序特征 (语速),每秒的有声段数量（与语速接近但统计技术细节不同）。
81,meanPeriodOfVoicedSegments,时序特征 (停顿),有声段（持续说话）的平均持续时间（秒）。
82,stddevOfPeriodOfVoicedSegments,时序特征 (停顿),有声段持续时间 Standard Deviation（标准差），反映句长变化。
83,meanPeriodOfUnvoicedSegments,时序特征 (停顿),无声段（停顿、静音）的平均持续时间（秒），反映说话时的思考停顿或呼吸节奏。
84,stddevOfPeriodOfUnvoicedSegments,时序特征 (停顿),无声段持续时间的标准差。
85,equivalentSoundLevel_dBp,能量 (全局),等效声级（dB），衡量音频整段的物理能量水平，常用于校准和音量分析。
86,F1frequency_sma3nz_amean_voicing,频率 (修正),v02新增：专门在强发音区间统计的F1频率平均值（增强鲁棒性）。
87,F2frequency_sma3nz_amean_voicing,频率 (修正),v02新增：专门在强发音区间统计的F2频率平均值（增强鲁棒性）。
88,F3frequency_sma3nz_amean_voicing,频率 (修正),v02新增：专门在强发音区间统计的F3频率平均值（增强鲁棒性）。
