word/phrase,pronounce,meaning,sentence,translation,link
abolish,"| BrE əˈbɒlɪʃ, AmE əˈbɑlɪʃ |",废除 ,Bad customs should be abolished.,坏的风俗应当废除,
refuge,"| BrE ˈrɛfjuːdʒ, AmE ˈrɛfjudʒ |",避难所,They took refuge in a bomb shelter.,他们在防空洞中避难。,
refuge,"| BrE ˈrɛfjuːdʒ, AmE ˈrɛfjudʒ |",避难所,His home became a place of refuge for the believers. ,他的家成了信徒们的避难之处,
lot,,,His lot has been a hard one.,他这一生命运艰难。,
lot,,,a parking lot,停车场,
far,,,You will go far. ,你很有前途。,
far,,,You go too far. ,你过分了。,
lay,"| BrE leɪ, AmE leɪ | ",躺,He lay on his back. ,他仰躺着。,
lay,"| BrE leɪ, AmE leɪ | ",放,She laid her head on his shoulder. ,她把头靠（放置）在他的肩上。,
set off,,出发,He set off for New York at 8 o’clock. ,他八点动身去了纽约。,
set off,,引发爆炸,He set off fireworks last night. ,昨晚，他燃放了烟花。,
set off,,触发警报,Opening that door will set off an alarm. ,打开那道门会触发警报。,
set off,,造成特殊效果,That dress nicely sets off the blue of your eyes. ,那条裙子很好地衬托出了你的蓝眼睛。,
set off,,引发一连串事件,The news set off a stock market panic. ,这条新闻引发了股市恐慌。,
at risk ,,,Children who ride their bikes without helmets are at risk of injury.,不戴头盔骑自行车的孩子有受伤的风险。,
at risk ,,,Some animals are at risk of extinction.,有些动物面临灭绝的风险。,
at risk ,,,The child is at risk of falling into the river.,孩子有掉进河里的危险。,
eye,,,Turn a blind eye,视而不见,
eye,,,•Eyes on the road,专心开车/小心看路,https://www.bilibili.com/video/BV1Nh411n78Q/?spm_id_from=333.337.search-card.all.click&vd_source=270d06f4fc6b51a309812a787b4f97c2
eye,,,"An eye for an eye, a tooth for a tooth.",以其人之道，还治其人之身,
pass for ,,,He speaks American English well enough to pass for an America. ,他美式英语说得很好，足以被当成一个美国人。,
Uncle Tom’s Cabin,,《汤姆叔叔的小屋》,,,https://www.bilibili.com/video/BV1cy2UYcETq/?spm_id_from=333.337.search-card.all.click&vd_source=270d06f4fc6b51a309812a787b4f97c2
firmly,"| BrE ˈfəːmli, AmE ˈfərmli |",坚决地,,,https://www.bilibili.com/video/BV1Kv411v7no/?spm_id_from=333.337.search-card.all.click&vd_source=270d06f4fc6b51a309812a787b4f97c2
historic,"| BrE hɪˈstɒrɪk, AmE hɪˈstɔrɪk | ",历史性的,,,https://www.bilibili.com/video/BV1Ew41197pq/?spm_id_from=333.337.search-card.all.click&vd_source=270d06f4fc6b51a309812a787b4f97c2
Moses,,摩西,,,https://www.bilibili.com/video/BV1rJ4m137kH/?spm_id_from=333.337.search-card.all.click&vd_source=270d06f4fc6b51a309812a787b4f97c2
it’s about time,,早该…/终于…,,,https://www.bilibili.com/video/BV1D44y1U7VA/?spm_id_from=333.337.search-card.all.click&vd_source=270d06f4fc6b51a309812a787b4f97c2
exploit,"| BrE ˈɛksplɔɪt, AmE ˈɛkˌsplɔɪt |",英雄业绩;开发;剥削 ;利用,,,https://www.bilibili.com/video/BV1SL4y1u7Qm/?spm_id_from=333.337.search-card.all.click&vd_source=270d06f4fc6b51a309812a787b4f97c2
unsung,"| BrE ʌnˈsʌŋ, AmE ˌənˈsəŋ |",默默无闻的,,,https://www.bilibili.com/video/BV1rxWDehEFC/?spm_id_from=333.337.search-card.all.click&vd_source=270d06f4fc6b51a309812a787b4f97c2
knock,,,•Knock the door,砸门,https://www.bilibili.com/video/BV1EQ4y187VB/?spm_id_from=333.337.search-card.all.click&vd_source=270d06f4fc6b51a309812a787b4f97c2
knock,,,•Knock it off,消停点,https://www.bilibili.com/video/BV1pK411s7RG/?spm_id_from=333.337.search-card.all.click&vd_source=270d06f4fc6b51a309812a787b4f97c2
knock,,,Knock (on)  wood  ,好运,https://www.bilibili.com/video/BV1r34y1y761/?spm_id_from=333.337.search-card.all.click&vd_source=270d06f4fc6b51a309812a787b4f97c2
iron,,,,,https://www.bilibili.com/video/BV1PL4y1z7He/?spm_id_from=333.337.search-card.all.click&vd_source=270d06f4fc6b51a309812a787b4f97c2
slip,,,,,https://www.bilibili.com/video/BV1WV4y137ia/?spm_id_from=333.337.search-card.all.click&vd_source=270d06f4fc6b51a309812a787b4f97c2
reward for,,,,,https://www.bilibili.com/video/BV1644y1B7SD/?spm_id_from=333.337.search-card.all.click&vd_source=270d06f4fc6b51a309812a787b4f97c2
fugitive,,,,,https://www.bilibili.com/video/BV12B4y1q7vL/?spm_id_from=333.337.search-card.all.click&vd_source=270d06f4fc6b51a309812a787b4f97c2
spot,,,,,https://www.bilibili.com/video/BV1kQ4y1X7L4/?spm_id_from=333.337.search-card.all.click&vd_source=270d06f4fc6b51a309812a787b4f97c2
spread the news,,,,,https://www.bilibili.com/video/BV1DZ4y1r78v/?spm_id_from=333.337.search-card.all.click&vd_source=270d06f4fc6b51a309812a787b4f97c2
leg,,,,,https://www.bilibili.com/video/BV1ff421X7u8/?spm_id_from=333.337.search-card.all.click&vd_source=270d06f4fc6b51a309812a787b4f97c2
bid,,,,,https://www.bilibili.com/video/BV19JgRzWEXv/?spm_id_from=333.337.search-card.all.click&vd_source=270d06f4fc6b51a309812a787b4f97c2
at once,,,,,https://www.bilibili.com/video/BV1bg4y1x7Bh/?spm_id_from=333.337.search-card.all.click&vd_source=270d06f4fc6b51a309812a787b4f97c2
Magistrate,,,,,https://www.bilibili.com/video/BV18wqCBhETj/?spm_id_from=333.337.search-card.all.click&vd_source=270d06f4fc6b51a309812a787b4f97c2
impose,,,,,https://www.bilibili.com/video/BV1HL411A7ZZ/?spm_id_from=333.337.search-card.all.click&vd_source=270d06f4fc6b51a309812a787b4f97c2
make the best of ,,,,,https://www.bilibili.com/video/BV1E64y1C7uU/?spm_id_from=333.337.search-card.all.click&vd_source=270d06f4fc6b51a309812a787b4f97c2
diligently,,,Henson worked diligently and rose far in his owner's regard.,亨森勤勤恳恳，在主人心目中的地位与日俱增。,https://www.bilibili.com/video/BV1si4y127PB/?spm_id_from=333.337.search-card.all.click&vd_source=270d06f4fc6b51a309812a787b4f97c2
compell,,,,,https://www.bilibili.com/video/BV1eF411H7wD/?spm_id_from=333.337.search-card.all.click&vd_source=270d06f4fc6b51a309812a787b4f97c2
alarm,,,false alarm,虚惊一场,https://www.bilibili.com/video/BV13V4y1W7a5/?spm_id_from=333.337.search-card.all.click&vd_source=270d06f4fc6b51a309812a787b4f97c2
colonel,,上校,,,https://www.bilibili.com/video/BV1zZ42147Zz/?spm_id_from=333.337.search-card.all.click&vd_source=270d06f4fc6b51a309812a787b4f97c2
